,questions,answers,classes
23,Контакты AITU (аиту)?,"Контактный номер: +7 (7172) 645-710, Email: info@astanait.edu.kz",AITU_contact_details
24,График работы?,"С понедельника по пятницу - 9:00 — 18:00, Обеденное время - 13:00 — 14:00",AITU_working_hours
25,Как поступить на Digital Journalism?,Для поступления на Digital Journalism нужно сдать творческий экзамен в нашем университете. Творческие экзамены направлены на выявление способностей у абитуриентов и личностных предпосылок к овладению профессией творческой направленности. Подробнее ознакомиться с требованиями можно на сайте: https://admission.astanait.edu.kz/digitaljournalism,AITU_Digital_Journalism_admission
26,Когда можно сдать творческий экзамен?,Период проведения творческих экзаменов с 8 июля по 15 июля (на момент 2023 года). Экзамены пройдут в очном формате в Astana IT University,AITU_creative_exam_dates
27,На каком языке будет проходить творческий экзамен?,"Абитуриенты имеют право сдать экзамен на трёх языках, это: русский язык, казахский язык и английский язык.",AITU_creative_exam_language
28,На каком языке будет проходить обучение Digital Journalism (DJ) Цифровая журналистика?,Обучение для поступивших на образовательную программу «Цифровая журналистика» проводится на английском языке.,AITU_Digital_Journalism_education_language
29,Как проходит творческий экзамен?,Творческий экзамен состоит из 2-х этапов. Первый этап проводится письменно в форме сочинения на одну из заданных тем. Второй этап проводится устно в форме собеседования (защита творческого проекта и ответы на вопросы комиссии).,AITU_creative_exam_process
30,"В каком жанре, стиле нужно писать сочинение?","Сочинение на заданную тему – письменное изложение в произвольной прозаической форме и композиции индивидуальных мнений, впечатлений, размышлений. Стиль изложения – литературный или публицистический, язык – в рамках лексических, морфологических и синтаксических норм школьной программы. Основным требованием к эссе является раскрытие заявленной темы.",AITU_creative_exam_essay_style
31,Какие темы сочинения?,"А вот и список тем для первого этапа творческого экзамена (на момент 2023 года):
1. Роль цифровизации в моей жизни или как я представляю цифровое будущее.
2. Профессия «журналист»: мы там, где кипит жизнь!
3. Журналистика в 21 веке и ее социальная значимость.
4. Роль журналистики в «Новом Казахстане».
5. Челленджи глобализации (современные вызовы человечества).
6. Мои идеи - моей стране.
7. Молодежь - это будущее или настоящее Казахстана?",AITU_creative_exam_essay_topics
32,На какие темы нужно делать творческий проект?,"Темы творческих проектов (абитуриент выбирает одну тему):
1. Разработайте флешмоб или лайфхак, популяризующие Образовательную программу по журналистике Университета в социальных сетях.
2. Предложите контент-план и контент-стратегию для продвижения страницы в социальных сетях: 1) страница Университета
3. Разработайте стартап проект в области цифровых медиа технологий, рекламы, PR, связей с общественностью, информационно-коммуникативных технологий.
4. Продемонстрируйте собственный видеофильм, рекламный ролик, короткометражный фильм, публикацию в СМИ и другие формы авторского медиаконтента.
Презентация проекта по одной из вышеуказанных тем обязательна, допускаются схематические и графические изображения в электронном и бумажном варианте.",AITU_creative_exam_project_topics
33,Как зарегистрироваться на творческий экзамен?,Для регистрации на творческий экзамен можете перейти по ссылке: https://admission.astanait.edu.kz/digitaljournalism,AITU_creative_exam_registration
34,Где можно проконсультироваться со студентами?,"Для консультации со студентами приемной комиссии можно перейти по ссылке: https://t.me/+KrO4Eh0R2ZgxYmI6
Не забудьте ознакомиться с правилами чата:
На казахском языке: https://t.me/c/1796272843/45509
На русском языке: https://t.me/c/1796272843/45510
На английском языке: https://t.me/c/1796272843/45511",AITU_student_consultation
35,Можно ли посмотреть как выглядит университет?," ""Можно пройти 3D-тур по университету по ссылке: https://kuula.co/share/collection/7PDWF?fs=1&vr=1&sd=1&initload=0&thumbs=1&info=0&logo=0""",AITU_3D_tour
43,Какие специальности входят в Информационные технологии?,"В Информационные технологии входят следующие специальности:
1. 6B06102 Software Engineering (Программная инженерия)
2. 6B06101 Computer Science (Компьютерные науки)
3. 6B06103 Big Data Analysis (Анализ больших данных)
4. 6B06106 Mathematical & Computational Science (Математические и вычислительные науки)
5. 6B06105 Media Technologies (Медиа технологии)",AITU_IT_specializations
65,1. Информационные технологии, для которых требуются профильные предметы математика и информатика, а минимальный балл - 85.
78,Какой проходной балл необходим для поступления на бакалавриат по специальности Computer Science в Astana IT University?," ""Для поступления на специальность Computer Science в Astana IT University необходим минимальный балл 85 по профильным предметам: математика и информатика."""," ""AITU_computer_science_requirements"""
79,Какой пороговый балл на бакалавриат по специальности Computer Science в Astana IT University?," ""Пороговый балл для специальности Computer Science в Astana IT University составляет 85 баллов. Профильные предметы для этой специальности - математика и информатика."""," ""AITU_computer_science_cutoff"""
80,Каковы минимальные баллы для поступления на программу Computer Science в Astana IT University?," ""Минимальный порог баллов для поступления на программу Computer Science в Astana IT University составляет 85. Профильные предметы - математика и информатика."""," ""AITU_computer_science_min_score"""
81,Каковы требования по баллам для поступления на специальность Computer Science в Astana IT University?," ""Для поступления на специальность Computer Science в Astana IT University требуется набрать минимум 85 баллов по профильным предметам - математике и информатике."""," ""AITU_computer_science_score_requirements"""
82,Каков проходной балл на специальность Software Engineering в Astana IT University?," ""Проходной балл для поступления на специальность Software Engineering в Astana IT University - 85. Профильные предметы - математика и информатика."""," ""AITU_software_engineering_min_score"""
83,Какой проходной балл на специальность Information Security в Astana IT University?," ""Проходной балл для поступления на специальность Information Security в Astana IT University - 85. Профильные предметы - математика и информатика."""," ""AITU_information_security_min_score"""
84,Какие предметы нужно сдавать при ЕНТ для поступления на специальность Software Engineering в Astana IT University?," ""Для поступления на специальность Software Engineering в Astana IT University вам необходимо сдать математику и информатику при ЕНТ."""," ""AITU_software_engineering_subjects"""
85,Какие профильные предметы необходимо выбрать для поступления на специальность Information Security в Astana IT University при сдаче ЕНТ?," ""Для поступления на специальность Information Security в Astana IT University вам нужно выбрать математику и информатику как профильные предметы при сдаче ЕНТ."""," ""AITU_information_security_subjects"""
86,На какие профильные предметы следует обратить внимание при сдаче ЕНТ для поступления на специальность Electrical Engineering and Automation в Astana IT University?," ""Для поступления на специальность Electrical Engineering and Automation в Astana IT University вам необходимо выбрать и сдать математику и физику как профильные предметы при сдаче ЕНТ."""," ""AITU_electrical_engineering_subjects"""
87,Какие предметы нужны для Software Engineering?," ""Математика и информатика."""," ""AITU_software_engineering_subjects"""
88,Предметы для Information Security?," ""Математика и информатика."""," ""AITU_information_security_subjects"""
89,Нужные предметы для Communications and Communication Technologies?," ""Математика и физика."""," ""AITU_communications_subjects"""
90,Что сдавать для Electrical Engineering and Automation?," ""Математика и физика."""," ""AITU_electrical_engineering_subjects"""
91,Какие предметы для Management and Control?," ""Математика и география."""," ""AITU_management_subjects"""
92,Проходной балл для Computer Science?," ""85 баллов."""," ""AITU_computer_science_score"""
93,Каков минимальный балл для Software Engineering?," ""85 баллов."""," ""AITU_software_engineering_score"""
94,Сколько нужно баллов для Information Security?," ""85 баллов."""," ""AITU_information_security_score"""
95,Проходной балл для Communications and Communication Technologies?," ""70 баллов."""," ""AITU_communications_score"""
96,Какой балл нужен для Management and Control?," ""70 баллов."""," ""AITU_management_score"""
97,Каков минимальный балл для специальности Big Data Analysis?," ""85 баллов."""," ""AITU_big_data_analysis_score"""
98,Проходной балл для специальности Media Technologies?," ""85 баллов."""," ""AITU_media_technologies_score"""
99,Сколько баллов нужно для специальности Mathematical & Computational Science?," ""85 баллов."""," ""AITU_math_comp_science_score"""
100,Каков проходной балл для специальности Electrical Engineering and Automation?," ""70 баллов."""," ""AITU_electrical_engineering_score"""
101,Каков минимальный балл для поступления на программу по Информационной безопасности?," ""85 баллов."""," ""AITU_infosec_score"""
102,Какой минимальный балл нужен для специальности Коммуникации и коммуникационные технологии?," ""70 баллов."""," ""AITU_communications_score"""
103,Сколько баллов необходимо набрать для поступления на специальность Менеджмент и управление?," ""70 баллов."""," ""AITU_management_score"""
104,Какой минимальный балл нужен для специальности Software Engineering?," ""85 баллов."""," ""AITU_software_engineering_score"""
105,Сколько баллов нужно набрать для поступления на специальность Computer Science?," ""85 баллов."""," ""AITU_computer_science_score"""
106,Какие предметы нужно выбрать для поступления на программу по Информационным технологиям?," ""Математика и информатика."""," ""AITU_IT_subjects"""
107,Какие предметы следует сдавать для специальности Информационная безопасность?," ""Математика и информатика."""," ""AITU_infosec_subjects"""
108,Какие профильные предметы необходимо сдавать для поступления на специальность Коммуникации и коммуникационные технологии?," ""Математика и физика."""," ""AITU_communications_subjects"""
109,"Какие предметы стоит выбрать для сдачи ЕНТ, если я хочу поступить на программу по Менеджменту и управлению?"," ""Математика и география."""," ""AITU_management_subjects"""
110,"Какие предметы я должен выбрать для сдачи ЕНТ, если моя цель - программа по Электротехнике и автоматике?"," ""Математика и физика."""," ""AITU_electrical_engineering_subjects"""
111,Какие предметы для Информационной безопасности?," ""Математика и информатика."""," ""AITU_infosec_subjects"""
112,ЕНТ предметы для Коммуникаций?," ""Математика и физика."""," ""AITU_communications_subjects"""
113,Профильные предметы для Менеджмента?," ""Математика и география."""," ""AITU_management_subjects"""
114,Что сдавать для Электротехники?," ""Математика и физика."""," ""AITU_electrical_engineering_subjects"""
115,Предметы ЕНТ для IT?," ""Математика и информатика."""," ""AITU_IT_subjects"""
122,Какие карьерные возможности у специальности Mathematical & Computational Science (Математические и вычислительные науки)?," ""После получения образования по этой специальности", выпускники могут стать:
133,Кем можно стать окончив Software Engineering (Программная инженерия)?,Карьерные возможности после окончания бакалавриата на специальность Software Engineering (Программная инженерия):\n— Инженер-программист\n— Разработчик программного обеспечения\n— Back-end и front-end разработчик\n— Веб-разработчик\n— Тестировщик программного обеспечения\n— Менеджер и архитектор ИТ систем и проектов\n— Мобильный разработчик.,AITU_software_engineering_careers
134,Кем можно стать окончив Computer Science (Компьютерные науки)?,Карьерные возможности после окончания бакалавриата на специальность Computer Science (Компьютерные науки):\n— Специалист по разработке программного обеспечения\n— Специалист по сопровождению компьютерных систем\n— Специалист по разработке и продвижению мобильных приложений\n— ИТ инженер или Специалист по серверному оборудованию\n— Менеджер ИТ-систем\n— Архитекторы информационных систем.,AITU_computer_science_careers
135,Кем можно стать окончив Big Data Analysis (Анализ больших данных)?,"Карьерные возможности после окончания бакалавриата на специальность Big Data Analysis (Анализ больших данных):\n— Аналитик в крупных научных, исследовательских и консалтинговых проектах\n— Специалист по машинному обучению\n— Специалист по анализу данных\n— Аналитик в крупных областях промышленности, ритейле, в логистических компаниях аналитик бизнеса\n— Аналитик в банковской сфере, в телекоммуникациях, государственном секторе.",AITU_big_data_analysis_careers
136,Кем можно стать окончив Media Technologies (Медиа технологии)?,Карьерные возможности после окончания бакалавриата на специальность Media Technologies (Медиа технологии):\n— Арт-директор\n— Медиа-аналитик\n— Менеджер по цифровым коммуникациям\n— Продюсер проектов в секторе информационных технологий и средств массовой информации\n— Режиссер цифрового контента и средств массовой информации.,AITU_media_technologies_careers
137,Кем можно стать окончив Mathematical & Computational Science (Математические и вычислительные науки)?,Карьерные возможности после окончания бакалавриата на специальность Mathematical & Computational Science (Математические и вычислительные науки):\nПо завершении программы обучающиеся получат квалификации:\nIT разработчик\nData Scientist\nНаучный сотрудник\nИнженер-вычислитель\nИнфлюенсер\nАналитик социальных сетей,AITU_math_comp_science_careers
138,Кем можно стать окончив Cybersecurity (Кибербезопасность)?,По завершении программы обучающиеся получат квалификации:\n-Специалист по кибербезопасности\n-Специалист по информационной безопасности\n-Инженер по защите информации\n-Специалист программно-аппаратной защиты информации\n-Специалист SAP\n-Анти-фрод аналитик\n-Специалист по реверс-инжинирингу или аналитик кода\n-Разработчик системы защиты информации\n-IT Entrepreneurship (IT предпринимательство)\n-Специалист по форензике или расследованию кибер-преступлений\n-Пентестер.,AITU_cybersecurity_careers
139,Кем можно стать окончив Smart Technologies?,По завершении программы обучающиеся получат квалификации:\n— Менеджер IT проектов.\n— IT Директор.\n— Директор Офиса системы управления знаниями CKO (Chief Knowledge Officer).\n— Директор информационного офиса.,AITU_smart_technologies_careers
140,Кем можно стать окончив Industrial Internet of Things (Промышленный интернет вещей)?,"Карьерные пути, связанные с Industrial Internet of Things (IIoT), включают:\nИнженер по разработке систем IIoT.\nСпециалист по внедрению IIoT.\nАналитик данных IIoT.\nСпециалист по кибербезопасности IIoT.\nМенеджер проектов IIoT.\nКонсультант IIoT.",AITU_IIOT_careers
141,Кем можно стать окончив IT Management (IT менеджмент)?,"Карьерные пути, связанные с IT Management (IT менеджмент), включают:\n— Менеджер IT проектов.\n— IT Директор.\n— Директор Офиса системы управления знаниями CKO (Chief Knowledge Officer).\n— Директор информационного офиса.",AITU_IT_management_careers
142,Кем можно стать окончив IT Entrepreneurship (IT предпринимательство)?,"Карьерные пути, связанные с IT Entrepreneurship (IT предпринимательство), включают:\n— Предприниматель\n— Проектный менеджер\n— Бизнесмен\n— Менеджер продуктов\n— Маркетолог\n— Бизнес-аналитик\n— Менеджер по управлению онлайн-продажами\n— Персональный бренд-менеджер\n— Форсайтер\n— Front-End разработчик\n— Системный администратор/аналитик",AITU_IT_entrepreneurship_careers
143,Кем можно стать окончив Digital Journalism (Цифровая журналистика)?,"Карьерные пути, связанные с Digital Journalism (Цифровая журналистика), включают:\n- Корреспондент, специальный корреспондент средств массовой информации\n- Редактор отдела, редактор СМИ\n- Модератор сайта / администратор SMM\n- Продюсер / копирайтер контента\n- Журналист-аналитик\n- Редактор, главный редактор электронных, цифровых медиа\n- Ведущий журналист новостных каналов в интернет пространстве.",AITU_digital_journalism_careers
144,Что учат на Software Engineering (Программная инженерия)?,"Образовательная программа «Software Engineering» (Программная инженерия) включает в себя дисциплины по основам разработки программных средств и систем, которые позволяют студентам позиционировать себя как профессионалов в области разработки и сопровождения программного обеспечения различных масштабов. По результатам обучения студенты свободно овладеют несколькими языками программирования, смогут разрабатывать программное обеспечение для крупных компании, такие как банки, страховые компании, государственные и национальные организации и другие. Программа также позволит развить навыки в разработке приложений для мобильных устройств, баз данных и веб-приложений.",AITU_software_engineering_training
145,Что умеет обучающийся после обучения на Software Engineering (Программная инженерия)?,"Обучающийся, после освоения всей образовательной программы, должен уметь выполнять следующие пункты:\nФормулировать и решать задачи, возникающие в ходе производственной деятельности, требующие углубленных профессиональных знаний. Для формулирования задачи могут быть использованы как математический аппарат, так и компьютерные средства\nВыбирать необходимые подходы и методы анализа проблем, а также модифицировать существующие и разрабатывать новые, в зависимости из задач конкретного случая\nПрименять в процессе обучения психологические методы и средства повышения эффективности и качества обучения\nВладеть иностранным (английским) языком на профессиональном уровне, позволяющем обучающимся проводить научные исследования на качественно высоком уровне и осуществлять преподавание специальных дисциплин в вузах\nМоделировать и проектировать сложные системы используя математические и компьютерные модели и методы\nПрименять количественные и качественные методы и приёмы для сбора первичной информации для исследования, а также выработки эффективных решений проблем\nАнализировать и проектировать программные инструменты анализа данных, а также алгоритмы, модели и методы, требуемые для разработки программных систем, эффективного анализа данных и извлечения знаний из данных\nУправлять командой ИТ специалистов в процессе внедрения и развертывания программных систем, а также моделей и методов анализа данных\nВыбирать стандарты, методы, технологии, инструменты и технические средства для проведения работ по дальнейшему сопровождению программных систем\nПрименять методы проектирования и разработки программных систем для решения широкого класса прикладных задач в различных областях, включая междисциплинарные отрасли",AITU_software_engineering_skills
146,Какой план обучения на Software Engineering (Программная инженерия)?,"Course Curriculum (План обучения) делится на пять циклов: ЦИКЛ БАЗОВЫХ ДИСЦИПЛИН (Вузовский компонент), ЦИКЛ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ДИСЦИПЛИН (Обязательный компонент).",AITU_software_engineering_curriculum_structure
147,Что проходят на Software Engineering (Программная инженерия)?,"Software Engineering (Программная инженерия) - это область знаний и практических навыков, связанных с разработкой, тестированием и поддержкой программного обеспечения. В учебных курсах по программной инженерии обычно рассматриваются следующие темы: Основы программирования, Проектирование программного обеспечения, Управление проектами, Качество программного обеспечения, Разработка пользовательского интерфейса, Управление конфигурацией и версионирование, Системная архитектура и инфраструктура, Безопасность программного обеспечения, Управление жизненным циклом программного обеспечения. Конкретный курс по программной инженерии может включать некоторые или все эти темы, а также предоставлять студентам возможность разрабатывать и работать над реальными программными проектами, чтобы применить полученные знания на практике. Со списком дисциплин подробнее можно ознакомиться на сайте: https://astanait.edu.kz/software-engineering/",AITU_software_engineering_course_content
148,Какой план обучения на Computer Science (Компьютерные науки)?,"План обучения на Computer Science (Компьютерные науки) включает следующие темы: Основы программирования, Структуры данных и алгоритмы, Теория вычислительных систем, Архитектура компьютеров, Операционные системы, Базы данных, Искусственный интеллект, Компьютерная графика и визуализация, Криптография и безопасность, Сети и распределенные системы.",AITU_computer_science_curriculum_structure
